1.17	20.51	-28.12	1.13	1.43	0.09	0.99	0.05	0.16	1.00	
2.93	20.51	-29.30	1.18	1.34	0.08	0.99	0.06	0.16	1.00	
1.76	21.09	-29.30	1.21	1.07	0.18	0.99	0.05	0.16	1.00	
2.34	19.92	-28.12	1.11	1.27	0.07	0.99	0.05	0.16	1.00	
3.52	19.34	-28.71	0.99	1.14	-0.17	0.99	0.05	0.16	1.00	
1.17	19.92	-28.71	1.10	1.17	-0.34	0.99	0.05	0.16	1.00	
0.59	20.51	-28.12	0.83	1.17	0.11	0.99	0.05	0.16	1.00	
2.93	20.51	-28.12	1.11	1.35	-0.01	0.99	0.05	0.16	1.00	
2.34	19.92	-28.71	1.12	1.33	0.06	1.00	0.05	0.15	1.00	
2.34	19.92	-28.71	1.24	1.50	0.08	1.00	0.05	0.16	1.00	
1.76	20.51	-28.12	1.04	1.29	-0.06	0.99	0.05	0.15	1.00	
1.76	19.92	-29.30	0.90	1.20	-0.09	0.99	0.05	0.16	1.00	
1.76	20.51	-28.12	1.08	1.43	-0.06	0.99	0.05	0.16	1.00	
1.76	19.92	-29.30	1.10	1.43	0.09	0.99	0.05	0.16	1.00	
1.76	20.51	-29.88	0.92	1.23	-0.17	0.99	0.05	0.16	1.00	
2.93	21.09	-28.71	1.13	1.40	0.10	0.99	0.05	0.16	1.00	
2.34	19.92	-28.71	8.12	5.01	19.44	0.98	-0.01	0.17	1.00	
2.93	21.09	-29.30	-15.36	-12.95	-13.72	0.98	0.08	0.10	1.00	
3.52	18.75	-29.30	-25.21	-30.28	35.82	1.03	-0.01	0.19	1.00	
2.34	18.75	-27.54	2.61	25.67	-12.24	1.05	0.02	0.21	1.00	
1.76	19.34	-29.88	44.80	-36.23	-10.04	1.10	0.15	0.05	1.00	
2.34	19.34	-31.05	23.31	6.06	-0.18	1.14	-0.12	0.21	1.00	
4.10	19.92	-33.40	-27.43	-84.09	28.05	1.55	-0.23	0.11	1.00	
5.86	21.09	-41.60	-78.97	-195.53	70.44	1.44	-0.30	-0.34	1.00	
9.38	23.44	-47.46	27.29	-99.19	55.57	1.12	-0.11	-1.04	1.00	
14.65	22.27	-49.80	123.83	-27.42	90.30	0.83	-0.04	-0.66	1.00	
21.68	23.44	-51.56	98.28	-41.48	78.55	0.61	-0.10	-0.44	1.00	
28.71	22.85	-53.91	87.40	-41.27	92.57	0.62	-0.37	-0.30	1.00	
36.33	26.95	-52.73	109.46	-38.32	119.37	0.39	-0.41	-0.29	1.00	
41.60	27.54	-49.22	85.76	47.98	95.13	0.35	-0.70	-0.11	1.00	
45.70	30.47	-46.88	84.13	32.56	128.12	0.15	-0.65	-0.11	1.00	
51.56	34.57	-41.60	122.36	47.61	113.57	0.01	-0.65	-0.22	1.00	
54.49	35.74	-31.05	250.00	169.85	61.62	-0.76	-0.36	-0.19	1.00	
49.80	39.84	-14.06	250.00	115.25	50.93	-0.75	-0.28	0.37	1.00	
40.43	42.77	-5.86	241.68	34.62	12.15	-0.01	-0.10	0.74	1.00	
35.16	41.60	-2.93	119.39	-133.77	119.16	-0.30	0.29	0.65	1.00	
26.95	38.09	-3.52	155.67	-78.31	160.06	-0.10	0.73	0.60	1.00	
19.92	33.98	-2.34	148.87	-74.86	138.45	0.05	0.96	1.01	1.00	
15.23	30.47	-3.52	136.52	-45.27	123.36	0.36	1.26	0.96	1.00	
12.89	26.95	-4.69	50.40	1.30	76.36	0.26	1.27	1.33	1.00	
14.65	26.37	-3.52	-66.78	31.08	0.43	-0.05	1.31	1.54	1.00	
22.85	28.12	-4.10	-218.71	4.94	-67.16	0.10	1.23	1.55	1.00	
32.23	31.05	-5.86	-246.60	39.17	-60.43	0.53	0.88	1.00	1.00	
41.60	33.40	-9.38	-196.46	59.06	-39.15	0.35	0.42	0.75	1.00	
47.46	31.64	-14.65	-165.97	33.94	-35.22	0.09	0.23	0.71	1.00	
50.39	32.23	-20.51	-175.31	35.60	-49.84	0.00	0.06	0.76	1.00	
50.98	28.71	-28.12	-203.96	-17.94	-85.49	0.17	-0.13	0.53	1.00	
48.63	26.37	-36.91	-191.27	-47.64	-92.44	0.25	-0.32	0.10	1.00	
41.60	22.85	-44.53	-160.09	-61.71	-94.97	0.30	-0.39	-0.43	1.00	
35.16	22.85	-48.05	-101.78	-6.79	-85.39	0.35	-0.54	-0.46	1.00	
30.47	21.68	-48.63	-87.05	-15.14	-83.81	0.63	-0.52	-0.48	1.00	
22.85	22.27	-50.98	-107.78	-100.15	-72.07	0.75	-0.32	-0.84	1.00	
18.75	26.95	-54.49	-29.60	-135.82	-118.13	0.59	0.11	-1.43	1.00	
14.06	32.81	-56.25	20.68	-112.36	-162.70	0.75	0.02	-1.17	1.00	
12.89	39.84	-56.84	-27.41	-127.00	-153.95	0.28	-0.33	-1.09	1.00	
14.06	48.05	-56.84	0.34	-155.66	-209.49	0.58	-0.06	-1.62	1.00	
21.68	53.32	-55.66	121.38	-99.54	-152.52	1.56	-0.18	-2.00	1.00	
31.05	59.77	-51.56	192.50	-99.84	-61.71	0.95	-0.12	-0.94	1.00	
34.57	60.94	-49.80	59.85	47.46	106.23	0.52	-0.08	-0.08	1.00	
26.95	60.35	-51.56	-88.74	50.54	197.49	-0.33	0.37	0.19	1.00	
16.41	56.84	-54.49	-187.89	80.74	-8.63	-1.36	0.52	-0.80	1.00	
14.06	58.01	-51.56	-85.64	-92.03	-109.45	-0.31	0.08	-1.58	1.00	
16.99	60.35	-50.98	-12.74	-30.30	-170.30	-0.25	0.02	-2.00	1.00	
25.78	58.59	-50.98	93.65	47.17	-130.71	0.36	0.04	-1.93	1.00	
35.74	56.84	-52.73	140.31	121.25	-116.25	-0.45	0.02	-0.83	1.00	
42.19	46.29	-52.73	81.98	176.68	-146.58	-0.03	-0.03	-0.23	1.00	
46.29	39.26	-51.56	79.42	112.80	-119.08	0.14	-0.00	-0.16	1.00	
45.70	32.81	-49.80	31.24	114.23	-114.47	0.16	0.17	-0.20	1.00	
43.36	23.44	-44.53	47.09	144.43	-162.81	0.66	0.54	-0.13	1.00	
38.67	19.34	-42.77	32.11	21.77	-160.28	1.17	0.86	-0.35	1.00	
31.64	14.06	-44.53	30.61	39.91	-122.00	1.94	0.83	0.15	1.00	
31.64	16.41	-45.70	-107.56	-27.60	38.60	1.66	0.71	0.24	1.00	
29.30	15.23	-43.95	-203.82	95.84	35.67	1.35	0.59	0.29	1.00	
28.12	16.41	-42.19	-250.01	54.28	106.99	1.44	0.63	-0.21	1.00	
31.64	16.99	-41.02	-208.28	85.99	149.98	0.63	0.40	-0.36	1.00	
34.57	18.16	-42.19	-151.80	41.45	126.96	0.25	0.13	-0.57	1.00	
32.81	16.99	-41.60	-89.85	42.52	-14.00	0.09	-0.17	-0.27	1.00	
28.71	16.99	-43.36	-34.39	-20.37	-111.37	0.53	-0.20	-0.10	1.00	
21.09	18.16	-45.12	-12.07	-31.31	-144.78	1.09	-0.16	-0.02	1.00	
13.48	18.75	-44.53	-11.16	-47.95	-110.64	1.67	0.00	0.19	1.00	
11.13	19.34	-43.95	-22.35	-17.78	8.29	1.36	0.01	0.01	1.00	
11.13	19.34	-42.77	-1.63	77.58	17.33	1.37	0.26	0.26	1.00	
12.89	18.75	-42.19	-20.46	-57.03	47.20	0.92	0.06	0.12	1.00	
15.23	17.58	-45.12	5.26	-23.31	44.80	0.99	-0.07	0.10	1.00	
18.16	17.58	-45.70	0.12	-1.96	32.70	1.03	-0.05	0.02	1.00	
16.99	18.16	-45.70	1.53	5.33	33.25	0.97	-0.17	-0.00	1.00	
18.75	17.58	-45.70	1.43	0.30	-0.72	0.97	-0.17	-0.00	1.00	
17.58	18.16	-44.53	0.82	1.05	2.09	0.99	-0.15	0.00	1.00	
18.16	19.34	-43.95	0.79	1.18	0.06	0.98	-0.17	0.00	1.00	
19.34	16.99	-45.12	1.45	0.60	-1.95	0.99	-0.16	0.00	1.00	
17.58	17.58	-45.12	0.89	1.01	-2.47	0.99	-0.16	-0.00	1.00	
18.75	18.16	-45.70	1.46	0.31	1.15	0.99	-0.15	-0.00	1.00	
17.58	18.16	-45.70	1.43	0.89	1.90	0.99	-0.16	-0.00	1.00	
16.99	18.75	-45.70	1.02	0.94	0.65	0.99	-0.16	-0.00	1.00	
18.75	16.99	-45.70	1.32	1.15	0.37	0.98	-0.16	-0.00	1.00	
18.75	18.16	-45.70	1.24	1.51	2.51	0.99	-0.16	-0.00	1.00	
18.75	19.34	-45.12	1.19	1.27	0.35	0.98	-0.16	-0.01	1.00	
19.34	18.75	-44.53	0.99	1.84	-1.06	0.98	-0.17	-0.00	1.00	
18.75	16.99	-45.12	3.81	-8.27	-5.04	0.98	-0.18	0.02	1.00	
17.58	18.75	-44.53	-2.12	4.70	-44.05	0.96	-0.19	-0.02	1.00	
16.41	18.16	-45.70	1.92	3.22	14.53	1.00	-0.08	-0.05	1.00	
16.99	18.75	-46.88	13.49	-23.23	-22.78	1.02	-0.12	0.04	1.00	
17.58	18.75	-47.46	2.17	-6.00	18.46	0.99	-0.12	-0.11	1.00	
17.58	17.58	-46.88	-0.76	-0.69	-9.80	0.99	-0.12	-0.06	1.00	
17.58	18.75	-46.88	0.79	3.21	-7.23	0.97	-0.12	-0.04	1.00	
18.16	18.75	-46.88	5.19	-1.97	10.15	1.00	-0.12	-0.04	1.00	
16.99	18.75	-48.05	1.76	-2.49	-2.37	0.97	-0.12	-0.08	1.00	
17.58	18.16	-48.05	0.69	-4.18	-5.84	1.00	-0.12	-0.05	1.00	
16.41	18.75	-47.46	1.21	-3.62	-4.29	0.99	-0.12	-0.06	1.00	
17.58	20.51	-46.88	1.53	-0.76	-1.55	1.00	-0.10	-0.08	1.00	
15.82	19.34	-48.05	2.61	0.34	1.73	1.00	-0.10	-0.07	1.00	
18.16	18.75	-47.46	5.45	-0.89	10.74	1.02	-0.08	-0.07	1.00	
17.58	18.75	-48.05	2.23	0.04	-0.87	0.98	-0.12	-0.08	1.00	
18.16	19.34	-48.05	2.95	-3.80	5.49	1.04	-0.09	-0.05	1.00	
16.99	19.34	-48.05	3.23	8.58	-5.67	0.94	-0.11	-0.15	1.00	
16.99	18.75	-47.46	6.78	31.13	-16.05	0.96	-0.14	-0.04	1.00	
16.99	18.75	-48.05	-6.91	4.56	17.64	1.02	-0.09	0.01	1.00	
17.58	18.16	-47.46	2.58	-17.98	-17.35	0.97	-0.16	-0.03	1.00	
18.75	18.75	-48.05	45.70	20.65	-1.52	1.01	-0.02	-0.12	1.00	
18.75	18.75	-48.05	12.59	2.40	-8.58	1.00	-0.20	0.09	1.00	
18.16	18.75	-47.46	57.99	22.93	-43.79	0.97	-0.03	-0.05	1.00	
15.82	16.41	-40.43	181.98	250.00	-160.25	1.59	0.31	0.98	1.00	
9.38	16.41	-30.47	23.80	231.92	-125.59	1.44	0.47	1.53	1.00	
6.45	18.16	-24.02	-47.82	175.45	-123.62	0.92	0.75	1.37	1.00	
4.69	20.51	-16.41	-141.65	123.43	-83.48	0.65	0.75	1.16	1.00	
7.62	26.95	-9.96	-138.63	97.04	-87.52	0.65	0.54	1.02	1.00	
12.89	28.12	-5.86	-165.50	16.16	-7.53	0.79	0.08	0.93	1.00	
22.85	29.30	-5.27	-181.53	-15.50	109.64	0.80	-0.00	0.79	1.00	
33.40	29.30	-7.03	-116.68	1.71	154.64	0.39	-0.07	0.43	1.00	
41.60	35.74	-9.38	-66.52	1.76	205.36	0.08	0.08	0.22	1.00	
44.53	39.84	-10.55	-11.47	-84.27	231.54	0.06	0.36	0.16	1.00	
41.60	43.36	-7.62	71.25	-138.13	227.06	-0.08	0.80	0.25	1.00	
35.74	42.19	-4.69	177.80	-116.03	224.65	-0.29	1.32	0.52	1.00	
25.78	37.50	-4.10	206.43	-147.59	217.86	-0.07	1.47	0.92	1.00	
19.34	32.23	-4.10	140.79	-96.10	164.70	0.09	1.40	1.30	1.00	
18.16	27.54	-7.62	-2.24	-75.73	75.76	0.47	1.40	1.73	1.00	
21.68	28.71	-4.69	-75.27	48.43	-6.77	0.33	1.50	1.75	1.00	
24.61	34.57	-4.10	-170.24	102.65	-98.68	0.43	1.41	1.70	1.00	
34.57	38.67	-5.27	-250.01	188.14	-237.77	0.74	1.66	0.84	1.00	
45.70	40.43	-11.13	-250.01	113.99	-158.99	0.72	0.99	0.38	1.00	
52.15	37.50	-22.85	-250.01	54.97	-109.98	-0.03	0.66	0.24	1.00	
53.32	31.05	-31.64	-209.22	18.49	-165.23	-0.03	0.22	-0.26	1.00	
46.29	22.27	-35.74	-101.67	42.44	-187.45	0.47	-0.27	-0.28	1.00	
37.50	17.58	-38.67	-72.61	7.87	-171.48	0.80	-0.44	-0.50	1.00	
31.64	14.65	-38.67	32.52	-8.51	-150.62	0.92	-0.46	-0.54	1.00	
24.61	14.06	-38.09	111.73	-7.03	-157.25	1.34	-0.17	-0.45	1.00	
22.27	14.65	-39.26	250.00	26.60	-103.28	1.58	0.12	-0.30	1.00	
21.68	15.82	-43.36	250.00	-87.34	-109.73	2.00	0.42	-0.13	1.00	
27.54	16.41	-45.70	250.00	-70.47	84.22	2.00	0.35	0.98	1.00	
40.43	20.51	-43.36	104.91	65.20	210.89	1.90	0.41	1.05	1.00	
48.63	27.54	-41.60	-43.41	150.36	250.00	0.83	0.54	0.70	1.00	
50.98	33.98	-41.60	-147.30	112.22	162.70	-0.26	0.68	0.44	1.00	
46.88	31.64	-47.46	-184.55	84.04	-100.86	-0.34	0.55	-0.11	1.00	
36.33	24.02	-50.98	-99.73	5.84	-250.01	0.74	0.49	-1.72	1.00	
29.30	21.68	-52.73	159.42	-116.34	-250.01	2.00	-0.00	-1.61	1.00	
30.47	22.85	-53.32	250.00	-43.06	-73.28	2.00	-0.04	0.17	1.00	
41.02	26.37	-51.56	82.75	14.15	236.31	1.95	0.35	1.07	1.00	
46.29	32.23	-49.80	-54.91	202.61	248.90	-0.24	0.73	0.21	1.00	
43.95	29.30	-49.22	-134.91	73.07	-90.06	-1.02	0.63	-0.48	1.00	
35.16	25.20	-53.91	-79.68	-47.88	-250.01	0.48	0.55	-1.72	1.00	
29.30	23.44	-53.91	20.58	-104.25	-110.66	2.00	-0.42	-0.51	1.00	
28.71	25.20	-56.84	26.71	-61.13	5.84	2.00	-0.77	-0.15	1.00	
35.74	27.54	-56.25	32.59	65.45	231.27	2.00	-0.84	-0.46	1.00	
45.70	35.74	-53.32	158.09	43.86	250.00	1.43	-0.15	-0.98	1.00	
51.56	46.29	-46.88	125.35	39.90	250.00	0.18	-0.04	-0.17	1.00	
48.63	52.73	-43.36	66.40	50.82	158.02	-0.07	0.07	-0.02	1.00	
48.63	54.49	-42.77	21.90	14.93	47.72	-0.17	0.11	0.12	1.00	
49.80	53.91	-42.19	30.95	30.51	-56.38	-0.31	0.04	0.34	1.00	
52.15	50.39	-43.95	-43.07	27.20	-109.33	0.02	-0.47	0.05	1.00	
50.98	45.70	-47.46	-90.97	25.99	-107.75	0.14	-0.94	-0.21	1.00	
49.80	37.50	-49.22	-23.13	36.52	-124.38	0.41	-1.46	-0.05	1.00	
46.29	33.40	-49.80	-53.67	35.91	-70.31	0.26	-1.72	0.13	1.00	
43.36	31.05	-50.39	-31.31	26.96	-54.57	0.39	-1.71	0.01	1.00	
43.36	28.71	-48.63	89.85	-1.10	-118.83	0.57	-1.75	0.11	1.00	
38.67	21.09	-46.29	47.17	49.77	-250.01	0.48	-0.35	0.29	1.00	
